,Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance
Unnamed: 0,1.0,0.4472396442763387,0.1574585084779021,-0.22526272188525615,-0.22485339028105877,-0.22869580526032576,-0.518660060771264,-0.12898344065536418,0.36776460825604695,0.7699789296931729,0.07303809252614453,-0.014427857210846516,0.025611170420843682,0.41973980391400373,-0.147622279111256,-0.15947764844974105,-0.15109722309177626,0.531784496582749
X1,0.4472396442763387,1.0,0.352706799019484,-0.4553238295433351,-0.41006459232998893,-0.3266626900570511,0.08976047648940519,0.1867809655977208,-0.28464145856736606,0.0008099015728884467,-0.0781217071824085,-0.3525879993080867,0.0013394529150699654,-0.08358854421848307,0.29267349993741776,0.3007941705722748,0.3739712697246723,0.06194093093381837
age,0.1574585084779021,0.352706799019484,1.0,-0.3198954546676823,-0.49474550665582673,-0.16984085941016608,0.022939508592948753,0.007735605243823233,-0.1450429979545241,0.009160822672316073,-0.14814339002934154,-0.15786928748218781,-0.014720554033142142,0.04444086235466453,0.020438687762962433,0.05627461033220721,0.05357148802785064,0.0263649427204274
gender,-0.22526272188525615,-0.4553238295433351,-0.3198954546676823,1.0,0.744465832100797,0.625862846347643,-0.024366862431693316,-0.14242653379686088,0.15258593353959027,-0.014069738426202787,0.20505960456235173,0.20207125153724798,-0.22157973552567156,-0.044350304613211974,-0.01995289085916778,-0.03794888455160368,-0.05875320076608326,-0.04323771438984416
height,-0.22485339028105877,-0.41006459232998893,-0.49474550665582673,0.744465832100797,1.0,0.7048377267553527,0.041235960101530154,-0.17531054981844224,0.13024469210125086,0.011993643227908472,0.18872913862055474,0.22420882577992432,-0.15265970889968136,0.0007568950092607364,-0.11423867274441288,-0.14304438534600267,-0.11632625909427387,0.02346480565111689
weight,-0.22869580526032576,-0.3266626900570511,-0.16984085941016608,0.625862846347643,0.7048377267553527,1.0,0.1054492895978604,-0.11168623963437962,0.12649868501908196,0.003921126299442251,0.13565500598062735,0.08425340496639472,-0.07260647818486322,-0.05887392413893192,-0.09393165442753156,-0.10781136101830507,-0.06628138359409129,0.007260107047673394
steps,-0.518660060771264,0.08976047648940519,0.022939508592948753,-0.024366862431693316,0.041235960101530154,0.1054492895978604,1.0,0.21917366576388927,-0.34871162176219705,-0.269542665218901,-0.12866286267704505,-0.15421634747218943,0.05704442730281931,-0.38189691181678126,0.24810486234461512,0.26414829909549437,0.2859200756399125,0.22042930251797013
hear_rate,-0.12898344065536418,0.1867809655977208,0.007735605243823233,-0.14242653379686088,-0.17531054981844224,-0.11168623963437962,0.21917366576388927,1.0,-0.3437396800676321,-0.27824259103372473,-0.06350055337692452,-0.24918196930087386,0.5006626569553876,-0.26032887547526046,0.5721048770236505,0.6235133508413597,0.3181843363305686,-0.1527132573501032
calories,0.36776460825604695,-0.28464145856736606,-0.1450429979545241,0.15258593353959027,0.13024469210125086,0.12649868501908196,-0.34871162176219705,-0.3437396800676321,1.0,0.5734592617309869,0.09942659225887032,0.28088351677344564,-0.060688790421100966,0.23140008946540036,-0.3424031086085504,-0.36454917679437476,-0.4499925088279116,0.35160233639925625
distance,0.7699789296931729,0.0008099015728884467,0.009160822672316073,-0.014069738426202787,0.011993643227908472,0.003921126299442251,-0.269542665218901,-0.27824259103372473,0.5734592617309869,1.0,0.1209232211512338,0.17550490609815395,0.030327301549322023,0.4434080517417263,-0.3541043156861997,-0.36890278599551285,-0.35120702020072075,0.827000964840349
entropy_heart,0.07303809252614453,-0.0781217071824085,-0.14814339002934154,0.20505960456235173,0.18872913862055474,0.13565500598062735,-0.12866286267704505,-0.06350055337692452,0.09942659225887032,0.1209232211512338,1.0,0.6902697836042081,0.15381913378825746,0.10926753576541233,-0.17952407553697175,-0.18269277408514903,-0.40236808705454197,0.08308172882047113
entropy_setps,-0.014427857210846516,-0.3525879993080867,-0.15786928748218781,0.20207125153724798,0.22420882577992432,0.08425340496639472,-0.15421634747218943,-0.24918196930087386,0.28088351677344564,0.17550490609815395,0.6902697836042081,1.0,0.13795108620810717,0.19267614698733126,-0.3795228374022903,-0.38453216208186114,-0.6311862676273053,0.13807145266847135
resting_heart,0.025611170420843682,0.0013394529150699654,-0.014720554033142142,-0.22157973552567156,-0.15265970889968136,-0.07260647818486322,0.05704442730281931,0.5006626569553876,-0.060688790421100966,0.030327301549322023,0.15381913378825746,0.13795108620810717,1.0,-0.023172311857269895,-0.20589078095852223,-0.14229558938211656,-0.20732164476150458,0.07829383717276546
corr_heart_steps,0.41973980391400373,-0.08358854421848307,0.04444086235466453,-0.044350304613211974,0.0007568950092607364,-0.05887392413893192,-0.38189691181678126,-0.26032887547526046,0.23140008946540036,0.4434080517417263,0.10926753576541233,0.19267614698733126,-0.023172311857269895,1.0,-0.36323560173913055,-0.37695906767157045,-0.28151208597836436,0.25548317522254366
norm_heart,-0.147622279111256,0.29267349993741776,0.020438687762962433,-0.01995289085916778,-0.11423867274441288,-0.09393165442753156,0.24810486234461512,0.5721048770236505,-0.3424031086085504,-0.3541043156861997,-0.17952407553697175,-0.3795228374022903,-0.20589078095852223,-0.36323560173913055,1.0,0.995095661951453,0.5531969436909053,-0.20760781508888052
intensity_karvonen,-0.15947764844974105,0.3007941705722748,0.05627461033220721,-0.03794888455160368,-0.14304438534600267,-0.10781136101830507,0.26414829909549437,0.6235133508413597,-0.36454917679437476,-0.36890278599551285,-0.18269277408514903,-0.38453216208186114,-0.14229558938211656,-0.37695906767157045,0.995095661951453,1.0,0.551106508805298,-0.21304938478390467
sd_norm_heart,-0.15109722309177626,0.3739712697246723,0.05357148802785064,-0.05875320076608326,-0.11632625909427387,-0.06628138359409129,0.2859200756399125,0.3181843363305686,-0.4499925088279116,-0.35120702020072075,-0.40236808705454197,-0.6311862676273053,-0.20732164476150458,-0.28151208597836436,0.5531969436909053,0.551106508805298,1.0,-0.24059113565699197
steps_times_distance,0.531784496582749,0.06194093093381837,0.0263649427204274,-0.04323771438984416,0.02346480565111689,0.007260107047673394,0.22042930251797013,-0.1527132573501032,0.35160233639925625,0.827000964840349,0.08308172882047113,0.13807145266847135,0.07829383717276546,0.25548317522254366,-0.20760781508888052,-0.21304938478390467,-0.24059113565699197,1.0
